Tests results with large minimal bounding rectangle
A_a (accurate area) = 0.944517
N - number of random points
A_p - monte carlo approximate area
D - deviation from accurate area

N : A_p : D
100 : 1.069435 : 0.124918
600 : 0.988417 : 0.043900
1100 : 0.839639 : 0.104878
1600 : 0.923603 : 0.020914
2100 : 0.995362 : 0.050844
2600 : 0.934821 : 0.009696
3100 : 0.878128 : 0.066389
3600 : 0.961411 : 0.016894
4100 : 0.924789 : 0.019729
4600 : 0.934170 : 0.010347
5100 : 0.976026 : 0.031509
5600 : 0.937492 : 0.007026
6100 : 0.925994 : 0.018524
6600 : 0.995782 : 0.051265
7100 : 0.920180 : 0.024338
7600 : 0.891622 : 0.052895
8100 : 0.908600 : 0.035918
8600 : 0.888558 : 0.055959
9100 : 0.934821 : 0.009696
9600 : 0.980315 : 0.035798
10100 : 0.932747 : 0.011770
10600 : 0.923603 : 0.020914
11100 : 0.997614 : 0.053097
11600 : 0.935337 : 0.009181
12100 : 0.961768 : 0.017251
12600 : 0.957553 : 0.013036
13100 : 0.932880 : 0.011637
13600 : 0.938615 : 0.005902
14100 : 0.915674 : 0.028844
14600 : 0.886978 : 0.057539
15100 : 0.896239 : 0.048278
15600 : 0.929212 : 0.015305
16100 : 0.932359 : 0.012158
16600 : 0.981584 : 0.037067
17100 : 0.902282 : 0.042235
17600 : 0.957299 : 0.012782
18100 : 0.958785 : 0.014268
18600 : 0.943988 : 0.000529
19100 : 0.926911 : 0.017606
19600 : 0.936996 : 0.007522
20100 : 0.909818 : 0.034699
20600 : 0.945313 : 0.000795
21100 : 0.951479 : 0.006962
21600 : 0.959611 : 0.015094
22100 : 0.976173 : 0.031656
22600 : 0.957587 : 0.013070
23100 : 0.931389 : 0.013128
23600 : 0.954088 : 0.009570
24100 : 0.910089 : 0.034428
24600 : 0.950872 : 0.006355
25100 : 0.935029 : 0.009488
25600 : 0.968416 : 0.023899
26100 : 0.943531 : 0.000986
26600 : 0.977331 : 0.032813
27100 : 0.933469 : 0.011049
27600 : 0.971509 : 0.026992
28100 : 0.905785 : 0.038732
28600 : 0.962355 : 0.017838
29100 : 0.949161 : 0.004644
29600 : 0.944952 : 0.000435
30100 : 0.955095 : 0.010578
30600 : 0.968401 : 0.023884
31100 : 0.958771 : 0.014254
31600 : 0.964522 : 0.020005
32100 : 0.933446 : 0.011071
32600 : 0.953724 : 0.009206
33100 : 0.936086 : 0.008431
33600 : 0.936334 : 0.008183
34100 : 0.947694 : 0.003177
34600 : 0.938214 : 0.006303
35100 : 0.917925 : 0.026592
35600 : 0.934527 : 0.009991
36100 : 0.943128 : 0.001389
36600 : 0.929712 : 0.014805
37100 : 0.958587 : 0.014070
37600 : 0.944547 : 0.000030
38100 : 0.950524 : 0.006007
38600 : 0.929648 : 0.014869
39100 : 0.923976 : 0.020541
39600 : 0.935878 : 0.008639
40100 : 0.927846 : 0.016671
40600 : 0.918095 : 0.026422
41100 : 0.967010 : 0.022492
41600 : 0.932717 : 0.011800
42100 : 0.927182 : 0.017335
42600 : 0.953728 : 0.009211
43100 : 0.955972 : 0.011455
43600 : 0.944786 : 0.000269
44100 : 0.954577 : 0.010060
44600 : 0.946491 : 0.001974
45100 : 0.938585 : 0.005932
45600 : 0.948335 : 0.003817
46100 : 0.963356 : 0.018839
46600 : 0.939250 : 0.005267
47100 : 0.960861 : 0.016344
47600 : 0.967720 : 0.023203
48100 : 0.924917 : 0.019600
48600 : 0.958611 : 0.014093
49100 : 0.938948 : 0.005569
49600 : 0.941832 : 0.002685
50100 : 0.931074 : 0.013443
50600 : 0.947044 : 0.002526
51100 : 0.944056 : 0.000462
51600 : 0.934154 : 0.010363
52100 : 0.936012 : 0.008505
52600 : 0.942641 : 0.001877
53100 : 0.952074 : 0.007556
53600 : 0.941560 : 0.002957
54100 : 0.940226 : 0.004291
54600 : 0.960105 : 0.015588
55100 : 0.953687 : 0.009170
55600 : 0.946335 : 0.001817
56100 : 0.964762 : 0.020245
56600 : 0.930130 : 0.014387
57100 : 0.937139 : 0.007378
57600 : 0.937106 : 0.007411
58100 : 0.923519 : 0.020998
58600 : 0.937041 : 0.007476
59100 : 0.924343 : 0.020174
59600 : 0.959001 : 0.014483
60100 : 0.934522 : 0.009995
60600 : 0.943336 : 0.001181
61100 : 0.957256 : 0.012739
61600 : 0.926444 : 0.018073
62100 : 0.955932 : 0.011415
62600 : 0.954043 : 0.009526
63100 : 0.945867 : 0.001350
63600 : 0.928800 : 0.015717
64100 : 0.946884 : 0.002367
64600 : 0.938352 : 0.006166
65100 : 0.943988 : 0.000529
65600 : 0.943907 : 0.000610
66100 : 0.940591 : 0.003926
66600 : 0.957178 : 0.012661
67100 : 0.950770 : 0.006253
67600 : 0.940574 : 0.003944
68100 : 0.950514 : 0.005996
68600 : 0.949680 : 0.005163
69100 : 0.945622 : 0.001105
69600 : 0.956569 : 0.012052
70100 : 0.942811 : 0.001706
70600 : 0.969459 : 0.024942
71100 : 0.933790 : 0.010727
71600 : 0.950352 : 0.005835
72100 : 0.936211 : 0.008307
72600 : 0.934718 : 0.009799
73100 : 0.944949 : 0.000432
73600 : 0.961382 : 0.016865
74100 : 0.955682 : 0.011165
74600 : 0.931031 : 0.013486
75100 : 0.952925 : 0.008407
75600 : 0.940835 : 0.003682
76100 : 0.956883 : 0.012366
76600 : 0.950637 : 0.006120
77100 : 0.973096 : 0.028579
77600 : 0.939264 : 0.005254
78100 : 0.934993 : 0.009524
78600 : 0.948712 : 0.004195
79100 : 0.935709 : 0.008808
79600 : 0.951817 : 0.007299
80100 : 0.950973 : 0.006456
80600 : 0.950019 : 0.005502
81100 : 0.955191 : 0.010674
81600 : 0.946240 : 0.001723
82100 : 0.930767 : 0.013750
82600 : 0.965152 : 0.020634
83100 : 0.956770 : 0.012253
83600 : 0.942210 : 0.002307
84100 : 0.943082 : 0.001435
84600 : 0.940496 : 0.004021
85100 : 0.947080 : 0.002563
85600 : 0.949271 : 0.004754
86100 : 0.956066 : 0.011549
86600 : 0.954700 : 0.010183
87100 : 0.947880 : 0.003363
87600 : 0.945023 : 0.000506
88100 : 0.961840 : 0.017323
88600 : 0.958278 : 0.013761
89100 : 0.935878 : 0.008639
89600 : 0.943134 : 0.001383
90100 : 0.941569 : 0.002948
90600 : 0.948713 : 0.004196
91100 : 0.951190 : 0.006673
91600 : 0.947696 : 0.003179
92100 : 0.942868 : 0.001649
92600 : 0.954680 : 0.010163
93100 : 0.958325 : 0.013808
93600 : 0.934094 : 0.010424
94100 : 0.947624 : 0.003107
94600 : 0.954434 : 0.009917
95100 : 0.942567 : 0.001950
95600 : 0.948213 : 0.003696
96100 : 0.943988 : 0.000529
96600 : 0.919678 : 0.024839
97100 : 0.942076 : 0.002441
97600 : 0.934162 : 0.010355
98100 : 0.945455 : 0.000938
98600 : 0.956832 : 0.012315
99100 : 0.949159 : 0.004642
99600 : 0.935023 : 0.009494
