Tests results with small minimal bounding rectangle
A_a (accurate area) = 0.944517
N - number of random points
A_p - monte carlo approximate area
D - deviation from accurate area

N : A_p : D
100 : 0.958492 : 0.013975
600 : 0.938524 : 0.005994
1100 : 0.930173 : 0.014344
1600 : 0.901582 : 0.042935
2100 : 1.001853 : 0.057335
2600 : 0.951119 : 0.006602
3100 : 0.917524 : 0.026993
3600 : 0.955164 : 0.010647
4100 : 0.950894 : 0.006377
4600 : 0.968911 : 0.024393
5100 : 0.936879 : 0.007638
5600 : 0.959776 : 0.015259
6100 : 0.957707 : 0.013189
6600 : 0.967569 : 0.023052
7100 : 0.951742 : 0.007225
7600 : 0.922864 : 0.021653
8100 : 0.933642 : 0.010875
8600 : 0.954034 : 0.009517
9100 : 0.934793 : 0.009724
9600 : 0.958243 : 0.013725
10100 : 0.950900 : 0.006383
10600 : 0.956232 : 0.011714
11100 : 0.968854 : 0.024337
11600 : 0.937215 : 0.007302
12100 : 0.943442 : 0.001076
12600 : 0.942327 : 0.002190
13100 : 0.947700 : 0.003183
13600 : 0.950916 : 0.006399
14100 : 0.920594 : 0.023923
14600 : 0.950122 : 0.005605
15100 : 0.948495 : 0.003978
15600 : 0.950658 : 0.006141
16100 : 0.949860 : 0.005343
16600 : 0.942469 : 0.002048
17100 : 0.924721 : 0.019796
17600 : 0.933849 : 0.010668
18100 : 0.952535 : 0.008018
18600 : 0.945480 : 0.000963
19100 : 0.941806 : 0.002711
19600 : 0.956781 : 0.012263
20100 : 0.943590 : 0.000927
20600 : 0.947442 : 0.002924
21100 : 0.944864 : 0.000347
21600 : 0.954499 : 0.009981
22100 : 0.942554 : 0.001964
22600 : 0.960189 : 0.015671
23100 : 0.954343 : 0.009826
23600 : 0.948440 : 0.003923
24100 : 0.927669 : 0.016848
24600 : 0.929173 : 0.015345
25100 : 0.936057 : 0.008460
25600 : 0.959335 : 0.014817
26100 : 0.935999 : 0.008518
26600 : 0.950925 : 0.006408
27100 : 0.949650 : 0.005133
27600 : 0.942083 : 0.002434
28100 : 0.957043 : 0.012525
28600 : 0.949360 : 0.004843
29100 : 0.938894 : 0.005623
29600 : 0.948616 : 0.004099
30100 : 0.948143 : 0.003626
30600 : 0.964522 : 0.020005
31100 : 0.939076 : 0.005441
31600 : 0.946284 : 0.001766
32100 : 0.946548 : 0.002031
32600 : 0.948569 : 0.004052
33100 : 0.957117 : 0.012600
33600 : 0.941162 : 0.003355
34100 : 0.947741 : 0.003224
34600 : 0.937923 : 0.006594
35100 : 0.947842 : 0.003325
35600 : 0.938097 : 0.006420
36100 : 0.944951 : 0.000434
36600 : 0.952534 : 0.008017
37100 : 0.937953 : 0.006564
37600 : 0.938800 : 0.005717
38100 : 0.949121 : 0.004604
38600 : 0.935647 : 0.008870
39100 : 0.951077 : 0.006560
39600 : 0.939371 : 0.005146
40100 : 0.956102 : 0.011585
40600 : 0.949108 : 0.004591
41100 : 0.948989 : 0.004472
41600 : 0.934588 : 0.009930
42100 : 0.947052 : 0.002535
42600 : 0.953036 : 0.008519
43100 : 0.943203 : 0.001314
43600 : 0.935189 : 0.009328
44100 : 0.942517 : 0.002000
44600 : 0.951561 : 0.007044
45100 : 0.937612 : 0.006906
45600 : 0.945986 : 0.001468
46100 : 0.945394 : 0.000876
46600 : 0.943683 : 0.000834
47100 : 0.945875 : 0.001358
47600 : 0.943138 : 0.001379
48100 : 0.949625 : 0.005108
48600 : 0.936305 : 0.008212
49100 : 0.939264 : 0.005253
49600 : 0.949989 : 0.005472
50100 : 0.946918 : 0.002400
50600 : 0.944380 : 0.000137
51100 : 0.943346 : 0.001171
51600 : 0.943214 : 0.001303
52100 : 0.945338 : 0.000821
52600 : 0.938265 : 0.006252
53100 : 0.947165 : 0.002648
53600 : 0.954871 : 0.010354
54100 : 0.944053 : 0.000464
54600 : 0.943132 : 0.001385
55100 : 0.945402 : 0.000885
55600 : 0.936943 : 0.007574
56100 : 0.941364 : 0.003153
56600 : 0.943040 : 0.001478
57100 : 0.948337 : 0.003819
57600 : 0.953958 : 0.009441
58100 : 0.950780 : 0.006263
58600 : 0.949373 : 0.004856
59100 : 0.939314 : 0.005203
59600 : 0.946511 : 0.001994
60100 : 0.945295 : 0.000778
60600 : 0.941647 : 0.002870
61100 : 0.941432 : 0.003085
61600 : 0.944916 : 0.000399
62100 : 0.947727 : 0.003209
62600 : 0.946970 : 0.002453
63100 : 0.946302 : 0.001785
63600 : 0.939202 : 0.005315
64100 : 0.950829 : 0.006312
64600 : 0.945547 : 0.001029
65100 : 0.952161 : 0.007644
65600 : 0.946292 : 0.001775
66100 : 0.946783 : 0.002266
66600 : 0.948814 : 0.004297
67100 : 0.943922 : 0.000595
67600 : 0.939209 : 0.005308
68100 : 0.945825 : 0.001308
68600 : 0.943228 : 0.001290
69100 : 0.942020 : 0.002497
69600 : 0.950815 : 0.006297
70100 : 0.942289 : 0.002228
70600 : 0.947597 : 0.003080
71100 : 0.932744 : 0.011773
71600 : 0.940654 : 0.003863
72100 : 0.942905 : 0.001612
72600 : 0.947699 : 0.003182
73100 : 0.941840 : 0.002677
73600 : 0.943320 : 0.001197
74100 : 0.947724 : 0.003207
74600 : 0.946575 : 0.002058
75100 : 0.941581 : 0.002936
75600 : 0.951741 : 0.007224
76100 : 0.947912 : 0.003395
76600 : 0.944728 : 0.000211
77100 : 0.945563 : 0.001046
77600 : 0.947592 : 0.003075
78100 : 0.948981 : 0.004464
78600 : 0.938280 : 0.006237
79100 : 0.942649 : 0.001869
79600 : 0.940731 : 0.003786
80100 : 0.945419 : 0.000902
80600 : 0.942052 : 0.002466
81100 : 0.942773 : 0.001744
81600 : 0.937055 : 0.007462
82100 : 0.942702 : 0.001815
82600 : 0.945844 : 0.001327
83100 : 0.934213 : 0.010304
83600 : 0.941466 : 0.003051
84100 : 0.939744 : 0.004773
84600 : 0.943735 : 0.000782
85100 : 0.942977 : 0.001540
85600 : 0.939933 : 0.004585
86100 : 0.943714 : 0.000803
86600 : 0.945681 : 0.001164
87100 : 0.948836 : 0.004319
87600 : 0.946675 : 0.002158
88100 : 0.944702 : 0.000185
88600 : 0.939344 : 0.005173
89100 : 0.945798 : 0.001281
89600 : 0.943730 : 0.000787
90100 : 0.945062 : 0.000544
90600 : 0.942782 : 0.001735
91100 : 0.943447 : 0.001070
91600 : 0.947113 : 0.002596
92100 : 0.943948 : 0.000569
92600 : 0.946356 : 0.001839
93100 : 0.950719 : 0.006202
93600 : 0.941929 : 0.002589
94100 : 0.947339 : 0.002822
94600 : 0.947676 : 0.003159
95100 : 0.949875 : 0.005358
95600 : 0.947990 : 0.003473
96100 : 0.948444 : 0.003926
96600 : 0.940781 : 0.003736
97100 : 0.938528 : 0.005989
97600 : 0.945431 : 0.000914
98100 : 0.948429 : 0.003911
98600 : 0.940338 : 0.004179
99100 : 0.935449 : 0.009068
99600 : 0.942878 : 0.001639
