Base Merge Sort
Tests results with particle sorted arrays

Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 461.950000
600 : 620.800000
700 : 665.250000
800 : 701.500000
900 : 768.500000
1000 : 851.250000
1100 : 1046.900000
1200 : 1053.300000
1300 : 1137.850000
1400 : 1249.200000
1500 : 1319.100000
1600 : 1414.000000
1700 : 1500.750000
1800 : 1592.450000
1900 : 1683.900000
2000 : 1784.500000
2100 : 1866.550000
2200 : 1953.500000
2300 : 2049.350000
2400 : 2177.650000
2500 : 2270.900000
2600 : 2350.300000
2700 : 2444.900000
2800 : 2503.900000
2900 : 2589.850000
3000 : 2721.550000
3100 : 2831.500000
3200 : 2915.700000
3300 : 2963.900000
3400 : 3081.550000
3500 : 3174.800000
3600 : 3266.500000
3700 : 3374.150000
3800 : 3462.250000
3900 : 3566.000000
4000 : 3657.650000
4100 : 3732.050000
4200 : 3866.700000
4300 : 3938.800000
4400 : 3981.150000
4500 : 4106.900000
4600 : 4204.600000
4700 : 4329.450000
4800 : 4414.250000
4900 : 4541.200000
5000 : 4636.200000
5100 : 4705.550000
5200 : 4795.050000
5300 : 4901.350000
5400 : 4981.550000
5500 : 5081.050000
5600 : 5182.550000
5700 : 5268.900000
5800 : 5385.500000
5900 : 5496.750000
6000 : 5561.050000
6100 : 5667.350000
6200 : 5733.900000
6300 : 5777.950000
6400 : 5918.450000
6500 : 6028.000000
6600 : 6144.000000
6700 : 6265.250000
6800 : 6354.900000
6900 : 6435.700000
7000 : 6487.350000
7100 : 6612.450000
7200 : 6706.100000
7300 : 6824.250000
7400 : 6932.450000
7500 : 7048.350000
7600 : 7089.000000
7700 : 7271.300000
7800 : 7406.700000
7900 : 7389.750000
8000 : 7714.350000
8100 : 7693.450000
8200 : 7804.150000
8300 : 7982.750000
8400 : 7939.300000
8500 : 8003.050000
8600 : 8426.600000
8700 : 8220.250000
8800 : 8291.950000
8900 : 8307.950000
9000 : 8407.150000
9100 : 8537.300000
9200 : 8707.250000
9300 : 8755.250000
9400 : 8793.250000
9500 : 8895.600000
9600 : 9047.950000
9700 : 9279.550000
9800 : 9260.350000
9900 : 9585.300000
10000 : 9631.700000
