Base Merge Sort
Tests results with reverse sorted arrays

Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 539.550000
600 : 585.100000
700 : 637.650000
800 : 689.350000
900 : 761.350000
1000 : 854.400000
1100 : 940.350000
1200 : 1034.600000
1300 : 1121.450000
1400 : 1211.550000
1500 : 1302.750000
1600 : 1391.500000
1700 : 1497.500000
1800 : 1574.300000
1900 : 1662.550000
2000 : 1729.400000
2100 : 1814.350000
2200 : 1908.800000
2300 : 2011.450000
2400 : 2163.350000
2500 : 2269.900000
2600 : 2340.750000
2700 : 2401.900000
2800 : 2504.650000
2900 : 2592.750000
3000 : 2636.150000
3100 : 2743.250000
3200 : 2831.700000
3300 : 2913.150000
3400 : 3007.350000
3500 : 3120.050000
3600 : 3236.100000
3700 : 3383.200000
3800 : 3464.350000
3900 : 3566.900000
4000 : 3614.700000
4100 : 3699.750000
4200 : 3824.700000
4300 : 3948.700000
4400 : 4030.050000
4500 : 4086.800000
4600 : 4189.500000
4700 : 4317.750000
4800 : 4418.400000
4900 : 4498.650000
5000 : 4558.450000
5100 : 4693.100000
5200 : 4736.200000
5300 : 4838.250000
5400 : 4945.400000
5500 : 5052.800000
5600 : 5208.250000
5700 : 5341.400000
5800 : 5345.700000
5900 : 5517.850000
6000 : 5620.800000
6100 : 5705.100000
6200 : 5758.050000
6300 : 5793.550000
6400 : 5879.950000
6500 : 6004.700000
6600 : 6111.200000
6700 : 6113.900000
6800 : 6224.200000
6900 : 6410.800000
7000 : 6527.750000
7100 : 6530.450000
7200 : 6689.900000
7300 : 6714.600000
7400 : 6823.250000
7500 : 6902.200000
7600 : 7064.450000
7700 : 7113.550000
7800 : 7307.200000
7900 : 7391.100000
8000 : 7411.200000
8100 : 7600.200000
8200 : 7670.100000
8300 : 7641.800000
8400 : 7713.350000
8500 : 7734.000000
8600 : 7928.350000
8700 : 8205.050000
8800 : 8108.500000
8900 : 8344.000000
9000 : 8412.050000
9100 : 8510.600000
9200 : 8493.750000
9300 : 8596.550000
9400 : 8686.750000
9500 : 8788.650000
9600 : 8888.600000
9700 : 9104.550000
9800 : 9341.650000
9900 : 9448.700000
10000 : 9428.700000
