Base Merge Sort
Tests results with random unsorted arrays

Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 511.200000
600 : 579.850000
700 : 640.600000
800 : 715.000000
900 : 863.150000
1000 : 917.850000
1100 : 1001.450000
1200 : 1106.250000
1300 : 1202.200000
1400 : 1313.100000
1500 : 1433.000000
1600 : 1532.500000
1700 : 1621.900000
1800 : 1700.100000
1900 : 1784.800000
2000 : 1886.650000
2100 : 1962.050000
2200 : 2053.250000
2300 : 2156.350000
2400 : 2249.800000
2500 : 2354.250000
2600 : 2494.800000
2700 : 2575.600000
2800 : 2685.600000
2900 : 2766.950000
3000 : 2911.750000
3100 : 2983.650000
3200 : 3048.600000
3300 : 3143.100000
3400 : 3246.650000
3500 : 3346.700000
3600 : 3448.050000
3700 : 3556.650000
3800 : 3635.900000
3900 : 3735.600000
4000 : 3839.600000
4100 : 3934.550000
4200 : 4044.500000
4300 : 4153.600000
4400 : 4224.950000
4500 : 4330.550000
4600 : 4427.200000
4700 : 4531.450000
4800 : 4659.400000
4900 : 4752.800000
5000 : 4846.900000
5100 : 4954.550000
5200 : 5089.600000
5300 : 5181.100000
5400 : 5345.750000
5500 : 5564.550000
5600 : 5518.950000
5700 : 5588.150000
5800 : 5672.100000
5900 : 5776.700000
6000 : 5950.100000
6100 : 6073.700000
6200 : 6135.250000
6300 : 6270.500000
6400 : 6427.700000
6500 : 6497.300000
6600 : 6614.300000
6700 : 6712.350000
6800 : 6839.900000
6900 : 6911.300000
7000 : 7022.300000
7100 : 7127.250000
7200 : 7249.450000
7300 : 7357.950000
7400 : 7414.600000
7500 : 7511.100000
7600 : 7552.200000
7700 : 7750.950000
7800 : 8006.250000
7900 : 7960.850000
8000 : 8080.400000
8100 : 8142.200000
8200 : 8192.050000
8300 : 8353.100000
8400 : 8420.100000
8500 : 8581.600000
8600 : 8642.000000
8700 : 8707.150000
8800 : 8751.800000
8900 : 9025.850000
9000 : 9029.850000
9100 : 9226.800000
9200 : 9299.200000
9300 : 9451.900000
9400 : 9420.500000
9500 : 9635.450000
9600 : 9701.900000
9700 : 9803.800000
9800 : 9781.400000
9900 : 10061.900000
10000 : 10143.450000
