Hybrid Merge Sort
Tests results with reverse sorted arrays

Insertion sort threshold = 10
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 124.200000
600 : 140.150000
700 : 210.500000
800 : 228.050000
900 : 250.600000
1000 : 267.100000
1100 : 290.450000
1200 : 313.000000
1300 : 346.950000
1400 : 451.100000
1500 : 466.400000
1600 : 489.550000
1700 : 518.150000
1800 : 532.750000
1900 : 563.300000
2000 : 569.500000
2100 : 592.700000
2200 : 614.400000
2300 : 636.050000
2400 : 661.150000
2500 : 680.300000
2600 : 737.900000
2700 : 840.250000
2800 : 955.450000
2900 : 995.300000
3000 : 1011.850000
3100 : 1039.950000
3200 : 1062.750000
3300 : 1075.650000
3400 : 1103.000000
3500 : 1133.250000
3600 : 1151.350000
3700 : 1162.450000
3800 : 1197.650000
3900 : 1209.650000
4000 : 1230.400000
4100 : 1254.150000
4200 : 1283.200000
4300 : 1308.350000
4400 : 1337.400000
4500 : 1356.400000
4600 : 1423.000000
4700 : 1450.500000
4800 : 1477.400000
4900 : 1479.200000
5000 : 1498.550000
5100 : 1517.800000
5200 : 1605.550000
5300 : 1722.800000
5400 : 1820.400000
5500 : 1943.200000
5600 : 2040.700000
5700 : 2082.450000
5800 : 2101.050000
5900 : 2104.800000
6000 : 2126.150000
6100 : 2157.550000
6200 : 2187.400000
6300 : 2231.850000
6400 : 2250.000000
6500 : 2263.500000
6600 : 2303.300000
6700 : 2317.350000
6800 : 2342.750000
6900 : 2364.500000
7000 : 2396.600000
7100 : 2454.650000
7200 : 2483.300000
7300 : 2563.700000
7400 : 2558.200000
7500 : 2576.100000
7600 : 2610.350000
7700 : 2632.500000
7800 : 2668.850000
7900 : 2697.350000
8000 : 2723.800000
8100 : 2697.700000
8200 : 2725.100000
8300 : 2765.100000
8400 : 2784.300000
8500 : 2802.650000
8600 : 2894.550000
8700 : 2858.700000
8800 : 2871.450000
8900 : 2894.550000
9000 : 2917.750000
9100 : 2944.950000
9200 : 2968.550000
9300 : 2998.450000
9400 : 3027.450000
9500 : 3054.200000
9600 : 3083.750000
9700 : 3152.600000
9800 : 3168.500000
9900 : 3156.350000
10000 : 3184.450000
