Hybrid Merge Sort
Tests results with particle sorted arrays

Insertion sort threshold = 30
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 90.100000
600 : 104.050000
700 : 120.500000
800 : 135.950000
900 : 149.550000
1000 : 206.850000
1100 : 222.450000
1200 : 235.900000
1300 : 252.450000
1400 : 269.500000
1500 : 287.000000
1600 : 304.600000
1700 : 320.450000
1800 : 337.850000
1900 : 354.850000
2000 : 453.700000
2100 : 477.750000
2200 : 492.250000
2300 : 513.700000
2400 : 531.200000
2500 : 549.350000
2600 : 568.500000
2700 : 588.900000
2800 : 608.350000
2900 : 627.400000
3000 : 647.700000
3100 : 665.900000
3200 : 684.100000
3300 : 715.550000
3400 : 732.750000
3500 : 757.650000
3600 : 764.500000
3700 : 784.700000
3800 : 806.050000
3900 : 901.550000
4000 : 1006.000000
4100 : 1028.050000
4200 : 1051.700000
4300 : 1073.400000
4400 : 1094.650000
4500 : 1114.250000
4600 : 1137.300000
4700 : 1158.450000
4800 : 1180.100000
4900 : 1200.600000
5000 : 1222.550000
5100 : 1244.800000
5200 : 1269.400000
5300 : 1288.150000
5400 : 1308.450000
5500 : 1329.300000
5600 : 1353.400000
5700 : 1372.400000
5800 : 1397.400000
5900 : 1417.000000
6000 : 1442.400000
6100 : 1461.050000
6200 : 1482.950000
6300 : 1516.700000
6400 : 1532.850000
6500 : 1552.350000
6600 : 1571.600000
6700 : 1592.700000
6800 : 1614.850000
6900 : 1637.700000
7000 : 1662.250000
7100 : 1682.100000
7200 : 1701.750000
7300 : 1724.350000
7400 : 1765.350000
7500 : 1780.850000
7600 : 1818.450000
7700 : 1843.900000
7800 : 1991.650000
7900 : 2135.400000
8000 : 2206.650000
8100 : 2230.500000
8200 : 2264.600000
8300 : 2305.600000
8400 : 2315.150000
8500 : 2335.000000
8600 : 2357.150000
8700 : 2374.800000
8800 : 2411.650000
8900 : 2454.150000
9000 : 2509.100000
9100 : 2571.600000
9200 : 2560.700000
9300 : 2546.800000
9400 : 2556.250000
9500 : 2609.850000
9600 : 2644.650000
9700 : 2683.650000
9800 : 2676.000000
9900 : 2665.350000
10000 : 2682.650000
