Hybrid Merge Sort
Tests results with random unsorted arrays

Insertion sort threshold = 5
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 233.850000
600 : 275.050000
700 : 341.150000
800 : 403.150000
900 : 412.800000
1000 : 419.050000
1100 : 441.700000
1200 : 486.500000
1300 : 543.900000
1400 : 636.150000
1500 : 720.750000
1600 : 770.350000
1700 : 806.050000
1800 : 833.450000
1900 : 853.650000
2000 : 888.000000
2100 : 913.000000
2200 : 963.850000
2300 : 969.950000
2400 : 993.050000
2500 : 1026.000000
2600 : 1088.600000
2700 : 1186.300000
2800 : 1293.250000
2900 : 1400.450000
3000 : 1508.200000
3100 : 1589.800000
3200 : 1626.400000
3300 : 1669.450000
3400 : 1692.100000
3500 : 1776.550000
3600 : 1773.400000
3700 : 1803.550000
3800 : 1851.700000
3900 : 1945.250000
4000 : 1940.400000
4100 : 1943.400000
4200 : 1971.450000
4300 : 1977.250000
4400 : 1998.900000
4500 : 2055.600000
4600 : 2138.800000
4700 : 2139.000000
4800 : 2173.450000
4900 : 2266.500000
5000 : 2300.650000
5100 : 2249.750000
5200 : 2327.550000
5300 : 2430.750000
5400 : 2603.000000
5500 : 2689.050000
5600 : 2760.600000
5700 : 2896.650000
5800 : 3050.050000
5900 : 3151.800000
6000 : 3293.250000
6100 : 3393.450000
6200 : 3379.350000
6300 : 3420.800000
6400 : 3530.950000
6500 : 3564.450000
6600 : 3530.250000
6700 : 3591.050000
6800 : 3610.750000
6900 : 3627.400000
7000 : 3685.050000
7100 : 3729.800000
7200 : 3763.400000
7300 : 3783.250000
7400 : 3831.500000
7500 : 3866.100000
7600 : 3909.800000
7700 : 3879.550000
7800 : 3933.600000
7900 : 4005.250000
8000 : 4042.700000
8100 : 4160.550000
8200 : 4077.950000
8300 : 4077.800000
8400 : 4196.900000
8500 : 4203.450000
8600 : 4226.600000
8700 : 4283.400000
8800 : 4274.250000
8900 : 4286.250000
9000 : 4316.050000
9100 : 4453.050000
9200 : 4556.750000
9300 : 4602.400000
9400 : 4595.900000
9500 : 4615.850000
9600 : 4652.500000
9700 : 4709.700000
9800 : 4723.900000
9900 : 4810.650000
10000 : 4819.850000
